"Word","IPA","POS","Category","Definition","Examples","Notes","Synonyms","Antonyms","SynonymDistinction"
"fluctuate","/ˈflʌktʃueɪt/","v.","学术写作","义1. 波动；起伏不定","义1:
  • Prices fluctuated wildly throughout the decade.
  • Body temperature fluctuates slightly during the day.
  • Public support for the policy fluctuated between 40% and 55%.","名词 fluctuation；常与 widely / sharply / between A and B 搭配。","vary、oscillate、swing","stabilize、steady","vary 泛指变化；oscillate 多指在两极值间摆动（也用于观点）；fluctuate 强调无规律上下波动（数据、价格）。"
"parameter","/pəˈræmɪtə(r)/","n.","学术写作","义1. 参数；界限（决定系统行为的可变因素）","义1:
  • Several key parameters were adjusted during the simulation.
  • We must work within the parameters of the law.
  • The model has too many unknown parameters.","常用复数 parameters；口语中也指‘范围 / 限制’（within the parameters of...）。","variable、factor、criterion","","variable 通用‘变量’；factor 指‘影响因素’；parameter 是模型/系统中的‘可调参数’，更技术化。"
"correlation","/ˌkɒrəˈleɪʃn/","n.","学术写作","义1. 相关（性）；关联","义1:
  • There is a strong correlation between exercise and mental health.
  • Correlation does not imply causation.
  • The study found a positive correlation between the two variables.","常接 between A and B；形容词 correlated。务必区分 correlation（相关）与 causation（因果）。","connection、link、association","independence","link / connection 泛指联系；association 偏统计‘共现’；correlation 是量化‘相关系数’意义上的相关。"
"paradigm","/ˈpærədaɪm/","n.","学术写作","义1. 范式；典范（一套被广泛接受的理论/方法框架）","义1:
  • The discovery triggered a paradigm shift in physics.
  • This model offers a new paradigm for understanding memory.
  • We need a paradigm change in how cities are planned.","paradigm shift = 范式转移（库恩《科学革命的结构》）。","model、framework、pattern","","model 指具体模型；framework 指结构框架；paradigm 指一整套‘世界观/方法论’层面的典范，层级最高。"
"robust","/rəʊˈbʌst/","adj.","学术写作","义1. 稳健的；强健的（结果/方法经得起检验）","义1:
  • The conclusion is robust to changes in the data.
  • We need a robust statistical method.
  • A robust immune system resists infection.","论文中常说 robust to / against...（对…稳健）。也形容人‘健壮’。","sound、sturdy、reliable","fragile、weak","sound 指‘合理可靠’（a sound argument）；sturdy 指物理结实；robust 在学术中指‘方法/结论不易被推翻’。"
"rigorous","/ˈrɪɡərəs/","adj.","学术写作","义1. 严密的；严格的（方法、标准）","义1:
  • The study used a rigorous experimental design.
  • We applied rigorous quality controls.
  • His reasoning is rigorous and well-supported.","名词 rigour（美 rigor）。形容人‘一丝不苟’也可。","strict、meticulous、thorough","sloppy、lax","strict 侧重遵守规则严；meticulous 侧重细节精确；rigorous 强调逻辑/方法上的严密无漏洞。"
"nuanced","/ˈnjuːɑːnst/","adj.","学术写作","义1. 细腻的；有细微差别的","义1:
  • The issue is more nuanced than it appears.
  • She offered a nuanced analysis of the conflict.
  • A nuanced view avoids simple right-or-wrong judgments.","名词 nuance（细微差别）。常用于批评‘过度简化’。","subtle、complicated、refined","crude、simplistic","subtle 泛指微妙；complicated 指复杂；nuanced 强调‘包含需要体察的细微层次’，评价性偏正面。"
"nevertheless","/ˌnevəðəˈles/","adv.","学术写作","义1. 然而；尽管如此（转折连接词）","义1:
  • The data are limited; nevertheless, the trend is clear.
  • It is costly. Nevertheless, it is necessary.
  • He was tired; nevertheless, he finished the work.","正式，功能同 however / nonetheless，但更强调‘让步后仍成立’。","however、nonetheless、yet","","however 最通用；nonetheless 语气略轻；nevertheless 在学术写作中表‘承认前述、仍坚持后述’的强转折。"
"consequently","/ˈkɒnsɪkwəntli/","adv.","学术写作","义1. 因此；所以（表因果）","义1:
  • Demand fell; consequently, prices dropped.
  • The bridge was closed; consequently, traffic worsened.
  • He missed the deadline; consequently, the project was delayed.","比 so 正式；近 therefore，但 consequently 更强调‘自然导致的结果’。","therefore、thus、hence","","therefore 通用因果；thus 可表‘如此一来’也用于数学；hence 较简洁书面；consequently 偏‘顺理成章的结果’。"
"metaphor","/ˈmetəfə(r)/","n.","英语文学","义1. 暗喻（直接把 A 说成 B，不用 like/as）","义1:
  • 'Time is a thief' is a metaphor, not a simile.
  • The poet uses the sea as a metaphor for the unconscious.
  • Her voice was a metaphor for freedom in the novel.","区别于 simile（明喻，用 like/as）。动词 metaphorize。","simile、analogy、figure of speech","","simile 明喻（用 like/as）；analogy 类比是说明性比较；metaphor 是文学性直接等同，最凝练。"
"irony","/ˈaɪrəni/","n.","英语文学","义1. 反讽（言意相反，或事态与预期相悖）","义1:
  • 'What lovely weather,' she said, with irony, in the storm.
  • The irony is that the fire station burned down.
  • Verbal irony says the opposite of what is meant.","分 verbal / situational / dramatic 三类；形容词 ironic。","sarcasm、paradox、contradiction","sincerity","sarcasm 是带刺的口头反讽（含贬义）；irony 范围更广、可中性甚至悲剧性；paradox 是逻辑上的自相矛盾。"
"foil","/fɔɪl/","n.","英语文学","义1. 衬托角色（以对比凸显主角特质）","义1:
  • The cowardly friend is a foil to the brave hero.
  • Her calmness acts as a foil to his agitation.
  • In the play, the fool is the king's foil.","也可作动词 foil = 阻止（The plan was foiled）。文学义专指‘衬托’。","contrast、counterpart、antithesis","","contrast 通用对比；antithesis 是对立（黑vs白）；foil 专指文学中‘用来衬托主角的配角’。"
"epiphany","/ɪˈpɪfəni/","n.","英语文学","义1. 顿悟（人物突然的领悟，常为转折）","义1:
  • The novel ends with the hero's epiphany about his past.
  • She had an epiphany that she loved the city.
  • His epiphany changes the whole meaning of the story.","源自宗教‘显现’；在成长小说(bildungsroman)中常见。","realization、revelation、insight","","realization 通用‘意识到’；revelation 强调‘被揭示的真相’；epiphany 特指文学中突然而深刻的顿悟时刻。"
"bildungsroman","/ˈbɪldʊŋzrəʊmɑːn/","n.","英语文学","义1. 成长小说（记述主人公心理/道德成长）","义1:
  • 'Great Expectations' is a classic bildungsroman.
  • The film is a bildungsroman about a young artist.
  • Many Victorian novels are bildungsromane (plural).","德语借词，复数 bildungsromane；常写 coming-of-age story。","coming-of-age story、apprenticeship novel","","coming-of-age 是通俗说法；bildungsroman 是文学术语，强调‘教育/修养形成’的成长过程。"
"sovereignty","/ˈsɒvrənti/","n.","法律政治","义1. 主权（国家的最高独立权力）","义1:
  • The treaty respects the sovereignty of each member state.
  • Questions of sovereignty lie at the heart of the conflict.
  • Popular sovereignty holds that power resides in the people.","形容词 sovereign（主权的；君主）。","autonomy、independence、authority","subjection、dependency","autonomy 指‘自治权’（可小于国家）；independence 指独立状态；sovereignty 是国际法上‘最高、对外独立’的主权。"
"ratify","/ˈrætɪfaɪ/","v.","法律政治","义1. 批准；正式签署生效（条约、协议）","义1:
  • The senate ratified the trade treaty last year.
  • The constitution was ratified by a public vote.
  • The agreement cannot take effect until both sides ratify it.","名词 ratification；名词 ratifier。","approve、confirm、sanction","reject、void","approve 通用批准；sanction 可指‘批准’也可指‘制裁’（看语境）；ratify 专指对条约/宪法等‘正式追认生效’。"
"legislation","/ˌledʒɪsˈleɪʃn/","n.","法律政治","义1. 立法；法律（总称）","义1:
  • New legislation bans single-use plastics.
  • The legislation was passed by a narrow margin.
  • We need legislation to protect gig workers.","不可数；动词 legislate；立法者 legislator。","law、statute、act","","law 泛指法律；statute 指成文法条款；legislation 是‘立法行为或成套法规’的总称。"
"acquit","/əˈkwɪt/","v.","法律政治","义1. 宣判无罪","义1:
  • The jury acquitted him of all charges.
  • She was acquitted for lack of evidence.
  • The court acquitted the defendant.","多用于刑事；反义 convict。名词 acquittal。","clear、exonerate","convict、condemn","clear / exonerate 较通用‘洗清’；acquit 是法庭正式‘无罪开释’。"
"convict","/kənˈvɪkt/","v.","法律政治","义1. 宣判有罪","义1:
  • He was convicted of fraud.
  • The court convicted her on two counts.
  • They were convicted and sentenced to prison.","名词 /ˈkɒnvɪkt/ 指‘已定罪者’；反义 acquit。","find guilty、sentence","acquit、exonerate","find guilty 是陪审团‘认定有罪’；convict 是整个‘定罪’动作；sentence 是后续的‘判刑’。"
"hegemony","/hɪˈdʒeməni/","n.","法律政治","义1. 霸权；支配地位（一国/集团的主导权）","义1:
  • The hegemony of the superpower is weakening.
  • Cultural hegemony shapes what people accept as normal.
  • They challenged the region's economic hegemony.","形容词 hegemonic。源自希腊，政治/国际关系高频。","dominance、supremacy、leadership","subordination","dominance 通用‘主导’；supremacy 强调‘至高无上’；hegemony 特指一国对他国/地区的‘领导+控制’式霸权。"
"deterrence","/dɪˈterəns/","n.","法律政治","义1. 威慑（以报复能力阻止敌对方行动）","义1:
  • Nuclear deterrence prevented direct war between the blocs.
  • The fine acts as a deterrence to speeding.
  • Deterrence relies on the threat, not the act.","动词 deter；形容词 deterrent（也指‘威慑物/防盗装置’）。","prevention、discouragement","encouragement","prevention 指‘预防发生’；deterrence 指‘以惩罚/报复的威胁使人不敢做’，军事/外交核心概念。"
"diagnosis","/ˌdaɪəɡˈnəʊsɪs/","n.","医疗健康","义1. 诊断（对病症的判断）","义1:
  • The doctor made a diagnosis of pneumonia.
  • Early diagnosis improves the chance of recovery.
  • The diagnosis was confirmed by a blood test.","动词 diagnose；复数 diagnoses；反义 prognosis（预后）。","identification、detection","misdiagnosis","detection 指‘发现疾病存在’；diagnosis 是完整的‘判断是什么病’；prognosis 是‘预后/会怎样’。"
"prognosis","/prɒɡˈnəʊsɪs/","n.","医疗健康","义1. 预后；对病程与康复的预测","义1:
  • The prognosis is good if treated early.
  • Doctors gave him a poor prognosis.
  • The long-term prognosis remains uncertain.","复数 prognoses；与 diagnosis（诊断）易混，注意区分。","forecast、outlook","","outlook 通用‘前景’；prognosis 专指医学上‘对疾病走向的预测’。"
"chronic","/ˈkrɒnɪk/","adj.","医疗健康","义1. 慢性的；长期的（病症持续不愈）","义1:
  • He suffers from chronic back pain.
  • Chronic stress harms the heart.
  • Diabetes is a chronic condition.","反义 acute（急性的）。也用于贬义‘严重的’（a chronic liar 惯骗）。","persistent、long-term、ongoing","acute、temporary","persistent 指‘持续存在’；long-term 中性‘长期’；chronic 医学专指‘慢性、迁延不愈’。"
"acute","/əˈkjuːt/","adj.","医疗健康","义1. 急性的；剧烈的（突然、严重）","义1:
  • She was taken to hospital with acute appendicitis.
  • The patient felt acute chest pain.
  • There is an acute shortage of beds.","反义 chronic（慢性）。也指‘敏锐’（an acute observer）或‘尖锐’（an acute angle 锐角）。","severe、intense、sharp","chronic、mild","severe 通用‘严重’；intense 指‘强烈’；acute 医学指‘突发且剧烈/急性’，与 chronic 相对。"
"therapy","/ˈθerəpi/","n.","医疗健康","义1. 治疗；疗法","义1:
  • She is undergoing physical therapy.
  • Cognitive therapy helped his anxiety.
  • Gene therapy is a promising field.","复数 therapies；形容词 therapeutic（有疗效的）。","treatment、cure、remedy","","treatment 通用‘治疗’；cure 强调‘治愈’；therapy 多指‘系统性理疗/心理疗法’过程。"
"prescription","/prɪˈskrɪpʃn/","n.","医疗健康","义1. 处方；处方药","义1:
  • The doctor wrote a prescription for antibiotics.
  • You need a prescription to buy this medicine.
  • Fill the prescription at the pharmacy.","动词 prescribe；形容词 prescriptive（也指‘规定性的’）。","script、order、medication","","medication 指‘药物本身’；prescription 是‘医生开的方子/凭方取的药’；script 是口语缩写。"
"vaccine","/ˈvæksiːn/","n.","医疗健康","义1. 疫苗","义1:
  • The vaccine protects against the virus.
  • She received two doses of the vaccine.
  • A new vaccine is in clinical trials.","动词 vaccinate；名词 vaccination。相关：antibody 抗体，immunity 免疫力。","inoculation、immunization","","inoculation 泛指‘接种’（含疫苗）；immunization 强调‘获得免疫’；vaccine 特指‘疫苗制剂’。"
"epidemic","/ˌepɪˈdemɪk/","n./adj.","医疗健康","义1. （疾病）流行；传染高峰","义1:
  • An epidemic of flu swept the city.
  • Measures slowed the epidemic.
  • Obesity has become an epidemic in wealthy nations.","范围跨地区用 pandemic（大流行）；形容词 endemic 指‘地方性的’。","outbreak、pandemic、plague","endemic","outbreak 指‘暴发’（事件）；pandemic 是跨国大流行；epidemic 是一国/地区内的流行。"
"avocado","/ˌævəˈkɑːdəʊ/","n.","美食食品","义1. 牛油果；鳄梨","义1:
  • I spread avocado on my toast.
  • Guacamole is made from avocado.
  • She added avocado to the salad.","复数 avocados；也作形容词‘牛油果绿的’。","alligator pear","","alligator pear 是旧称/别称；avocado 是标准名。"
"pomegranate","/ˈpɒmɪɡrænɪt/","n.","美食食品","义1. 石榴","义1:
  • She squeezed the pomegranate for juice.
  • The salad was topped with pomegranate seeds.
  • Pomegranate is rich in antioxidants.","籽 edible；皮不可食。","","",""
"quinoa","/ˈkiːnwɑː/","n.","美食食品","义1. 藜麦（高蛋白谷物）","义1:
  • Quinoa is a good source of protein.
  • We served quinoa instead of rice.
  • Boil the quinoa for about fifteen minutes.","发音为 KEEN-wah；植物学上非真谷物但常作主食。","grain、pseudocereal","","grain 是谷物统称；quinoa 是具体的高蛋白伪谷物。"
"zucchini","/zuˈkiːni/","n.","美食食品","义1. 西葫芦（美）； courgette（英）","义1:
  • Slice the zucchini thinly.
  • We grilled the zucchini with olive oil.
  • Add diced zucchini to the stir-fry.","英式 courgette；复数同形或 zucchini。","courgette","","courgette 是英式说法；zucchini 是美式。"
"yogurt","/ˈjɒɡət/","n.","美食食品","义1. 酸奶","义1:
  • I eat yogurt for breakfast.
  • Greek yogurt is thicker than regular yogurt.
  • The sauce is made with plain yogurt.","也拼 yoghurt；可作形容词 yogurt-based。","curd","","curd 多指‘凝乳’（制作环节）；yogurt 是成品酸奶。"
"magnanimous","/mæɡˈnænɪməs/","adj.","外貌性格","义1. 宽宏大量的；豁达的","义1:
  • He was magnanimous in victory and thanked his rival.
  • A magnanimous leader forgives past insults.
  • She made a magnanimous gesture of reconciliation.","名词 magnanimity；勿与 unanimous（一致的）混淆。","generous、forgiving、noble","petty、mean","generous 通用‘慷慨’；forgiving 侧重‘原谅’；magnanimous 强调‘地位高者不念旧恶’的胸襟，最正式。"
"pusillanimous","/ˌpjuːsɪˈlænɪməs/","adj.","外貌性格","义1. 怯懦的；胆小如鼠的","义1:
  • His pusillanimous refusal to speak up angered them.
  • A pusillanimous ruler avoids all risk.
  • Do not be so pusillanimous; state your view.","正式、带贬义；名词 pusillanimity。","cowardly、timid、fainthearted","brave、courageous","timid 中性‘害羞胆小’；cowardly 常用贬义；pusillanimous 最正式、强调‘缺乏胆魄’。"
"mercurial","/mɜːˈkjʊəriəl/","adj.","外貌性格","义1. 善变的；情绪起伏快的","义1:
  • His mercurial mood swings puzzled the team.
  • She is a mercurial genius, brilliant yet unpredictable.
  • The mercurial market rose and fell within a day.","源自 Mercury（水星/神），喻‘多变、敏捷’；也形容‘机敏’。","volatile、capricious、changeable","steady、stable","capricious 强调‘任性、无理由地变’；volatile 强调‘剧烈不稳’；mercurial 偏‘敏捷而善变’，可褒可贬。"
"ebullient","/ɪˈbʌliənt/","adj.","外貌性格","义1. 热情奔放的；兴致勃勃的","义1:
  • The ebullient host welcomed every guest.
  • She gave an ebullient speech full of laughter.
  • His ebullient nature lifts the room.","名词 ebullience；比 enthusiastic 更有‘外溢的喜悦’之感。","exuberant、effervescent、cheerful","morose、glum","cheerful 通用‘开心’；effervescent 像气泡般活泼；ebullient 强调‘满溢的热情’，最生动。"
"taciturn","/ˈtæsɪtɜːn/","adj.","外貌性格","义1. 沉默寡言的","义1:
  • The taciturn old man rarely spoke.
  • His taciturn manner was mistaken for rudeness.
  • She is taciturn in meetings but warm in private.","反义 garrulous / loquacious；名词 taciturnity。","reserved、silent、reticent","garrulous、talkative","reserved 中性‘内敛’；reticent 指‘不愿吐露’；taciturn 强调‘天性少言’。"
"garrulous","/ˈɡærələs/","adj.","外貌性格","义1. 饶舌的；爱说话的","义1:
  • The garrulous neighbor talked for an hour.
  • He is garrulous when he drinks.
  • A garrulous guide can exhaust tourists.","略带贬义；反义 taciturn；名词 garrulity。","talkative、loquacious、voluble","taciturn、reticent","talkative 中性‘爱说话’；loquacious 较正式；garrulous 带‘絮叨、停不下来’的贬义。"
"inscrutable","/ɪnˈskruːtəbl/","adj.","外貌性格","义1. 高深莫测的；难以看透的","义1:
  • He wore an inscrutable smile.
  • Her motives remained inscrutable.
  • The monk's face was calm and inscrutable.","名词 inscrutability；常用于表情、意图。","enigmatic、mysterious、unfathomable","transparent、clear","mysterious 通用‘神秘’；enigmatic 偏‘谜样引人猜’；inscrutable 强调‘无法读懂（表情/心思）’。"
"sanguine","/ˈsæŋɡwɪn/","adj.","外貌性格","义1. 乐观的；充满信心的（也指面色红润）","义1:
  • She is sanguine about the project's chances.
  • He remained sanguine despite the setbacks.
  • A sanguine complexion suggests good health.","源于‘血’（体液说中血液旺则乐观）；反义 melancholic。","optimistic、hopeful、cheerful","pessimistic、melancholic","optimistic 通用‘乐观’；hopeful 指‘抱有希望’；sanguine 正式、带‘天性豁达’意味，也保留‘红润’古义。"
"blasé","/ˈblɑːzeɪ/","adj.","外貌性格","义1. 见怪不怪的；漠然厌倦的","义1:
  • The blasé critic yawned at the fireworks.
  • Having traveled everywhere, he is blasé about sights.
  • Don't be so blasé; this is a real achievement.","源自法语，常形容‘对寻常刺激无感、略显倦怠’。","jaded、apathetic、unimpressed","enthusiastic、eager","jaded 强调‘因过度经历而麻木’；apathetic 指‘冷漠无心’；blasé 强调‘见多不怪、不为所动’的倦怠感。"
"biodiversity","/ˌbaɪəʊdaɪˈvɜːsəti/","n.","地理环境","义1. 生物多样性","义1:
  • The rainforest is rich in biodiversity.
  • Loss of biodiversity threatens ecosystems.
  • Protected areas help preserve biodiversity.","形容词 biodiverse；常用前缀 bio-（生命）。","variety of life、ecological richness","monoculture","variety of life 是通俗说法；biodiversity 是生态学术语，强调‘物种/基因/生态系统’多层次多样。"
"sustainability","/səˌsteɪnəˈbɪləti/","n.","地理环境","义1. 可持续性","义1:
  • We must balance growth with environmental sustainability.
  • The report measures the sustainability of farming.
  • Urban sustainability requires clean transport.","形容词 sustainable（可持续的）；动词 sustain。","endurance、viability","depletion","viability 指‘能否维持运转’；sustainability 专指‘不损害未来、长期可续’的发展观。"
"erosion","/ɪˈrəʊʒn/","n.","地理环境","义1. 侵蚀；磨损（风、水、时间造成）","义1:
  • Soil erosion washed away the topsoil.
  • Coastal erosion threatens the village.
  • The erosion of trust damaged the team.","动词 erode；也可喻‘侵蚀（权利/信任）’。","wearing away、corrosion、decline","buildup","corrosion 多指‘化学锈蚀’；wearing away 通用‘磨耗’；erosion 专指自然力对地表/物质的逐步剥蚀，亦可比喻。"
"watershed","/ˈwɔːtəʃed/","n.","地理环境","义1. 分水岭（也喻重大转折点）","义1:
  • The year 1989 was a watershed in European history.
  • The reform marked a watershed for the economy.
  • The river's watershed covers three provinces.","地理义‘流域分水岭’；比喻义‘转折点’更常用。","turning point、milestone、divide","","milestone 指‘里程碑/标志事件’；turning point 指‘转折’；watershed 强调‘分界、此后截然不同’的转折。"
"mammal","/ˈmæml/","n.","动植物","义1. 哺乳动物","义1:
  • Whales are mammals, not fish.
  • Humans are mammals that give birth to live young.
  • The mammal feeds its young with milk.","形容词 mammalian；特征：胎生、哺乳、恒温。","vertebrate","","vertebrate 指‘脊椎动物’（含鱼鸟爬）；mammal 是其中‘哺乳’的一类。"
"pollinate","/ˈpɒlɪneɪt/","v.","动植物","义1. 给…传粉","义1:
  • Bees pollinate most fruit trees.
  • Wind pollinates grasses and cereals.
  • The flower is pollinated by moths at night.","名词 pollination；传粉者 pollinator（蜂、蝶等）。","fertilize","","fertilize 可指‘施肥’或‘受精’；pollinate 专指‘花粉传递’这一生态过程。"
"deciduous","/dɪˈsɪdʒuəs/","adj.","动植物","义1. 落叶的（树木季节性地落叶）","义1:
  • Oak is a deciduous tree.
  • Deciduous forests turn red in autumn.
  • Plant deciduous shrubs for seasonal color.","反义 evergreen（常绿）。","leaf-shedding","evergreen","leaf-shedding 是描述；deciduous 是植物学术语，与 evergreen 相对。"
"renaissance","/rɪˈneɪsns/","n.","艺术音乐","义1. 文艺复兴；复兴","义1:
  • The Renaissance began in Italy in the 14th century.
  • There is a renaissance of craft beer.
  • Her work sparked a renaissance in local art.","首字母大写指欧洲文艺复兴；小写指‘复兴’。","revival、rebirth、awakening","decline","revival 通用‘复兴’；rebirth 强调‘重生’；Renaissance 专指14–17世纪欧洲文化运动。"
"crescendo","/krəˈʃendəʊ/","n.","艺术音乐","义1. （音乐）渐强；高潮渐起","义1:
  • The music built to a crescendo.
  • The applause reached a crescendo.
  • Tensions rose in a crescendo before the war.","源于意大利语；也喻‘逐步高涨到顶点’。","climax、swelling、peak","decrescendo","climax 指‘顶点’；peak 指‘峰值’；crescendo 强调‘由弱到强逐渐推到高潮’的过程。"
"improvisation","/ɪmˌprɒvəˈzeɪʃn/","n.","艺术音乐","义1. 即兴创作；即兴表演","义1:
  • Jazz relies on improvisation.
  • The actor's improvisation saved the scene.
  • We performed with little preparation and much improvisation.","动词 improvise；形容词 improvised。","extemporization、ad-lib","scripting","ad-lib 口语‘临时加词’；extemporization 偏演讲‘即兴’；improvisation 是音乐/戏剧通用的‘即兴创作’。"
"itinerary","/aɪˈtɪnərəri/","n.","旅游","义1. 行程单；旅行路线","义1:
  • Our itinerary includes three cities in five days.
  • Send me the itinerary before we book.
  • The tour's itinerary changed due to weather.","也用于商务‘日程安排’。","schedule、route、plan","","route 指‘路线’；schedule 指‘时刻表’；itinerary 是‘逐站旅行计划’。"
"heritage","/ˈherɪtɪdʒ/","n.","旅游","义1. 遗产；传统（文化/自然）","义1:
  • The town is a UNESCO world heritage site.
  • They preserve their cultural heritage.
  • The festival celebrates local heritage.","world heritage site = 世界遗产；形容词 heritage（heritage railway 遗产铁路）。","legacy、inheritance、tradition","","legacy 多指‘先辈留下的影响/财物’；tradition 指‘传统习俗’；heritage 强调‘可珍视、需保护的文化/自然遗产’。"
"Confucius","/kənˈfjuːʃəs/","n.","历史人物","义1. 孔子（公元前 551–479，中国思想家、儒家创始人）","义1:
  • Confucius emphasized filial piety and education.
  • The sayings of Confucius were compiled in the Analects.
  • Confucius influenced East Asian thought for two millennia.","拉丁化名；本名孔丘，字仲尼。相关 Confucianism 儒家。","","",""
"Leonardo da Vinci","/liːəˈnɑːdəʊ dɑː ˈvɪntʃi/","n.","历史人物","义1. 列奥纳多·达·芬奇（1452–1519，意大利文艺复兴全才：画家、科学家、发明家）","义1:
  • Leonardo da Vinci painted the Mona Lisa.
  • Leonardo da Vinci sketched early flying machines.
  • Leonardo da Vinci embodies the Renaissance ideal of the universal genius.","《蒙娜丽莎》《最后的晚餐》作者；也作科学家、工程师。","","",""
"Alexander the Great","/ˌælɪɡˈzɑːndə ðə ˈɡreɪt/","n.","历史人物","义1. 亚历山大大帝（公元前 356–323，马其顿国王，建立横跨欧亚非的帝国）","义1:
  • Alexander the Great conquered Persia by the age of 25.
  • Alexander the Great spread Greek culture across his empire.
  • The conquests of Alexander the Great shaped the ancient world.","马其顿王，师事亚里士多德；帝国昙花一现。","","",""
